id,loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects
0,22,3,1,2,60,278.63,0.06,19.56,14.25,5448.79,0.09,302.71,17,1,1,0,16,9,38,22,5,FALSE
1,14,2,1,2,32,151.27,0.14,7,21.11,936.71,0.05,52.04,11,0,1,0,11,11,18,14,3,FALSE
2,11,2,1,2,45,197.65,0.11,8.05,22.76,1754.01,0.07,97.45,8,0,1,0,12,11,28,17,3,FALSE
3,8,1,1,1,23,94.01,0.19,5.25,17.86,473.66,0.03,26.31,4,0,2,0,8,6,16,7,1,TRUE
4,11,2,1,2,17,60.94,0.18,5.63,12.44,365.67,0.02,20.31,7,0,2,0,7,6,10,10,3,FALSE
5,23,4,4,3,69,338.21,0.07,14.15,22.81,3772.51,0.11,209.42,17,1,2,0,16,10,40,19,7,FALSE
6,24,4,1,4,60,294.41,0.08,12.46,24.62,3295.25,0.1,183.07,19,0,3,0,14,13,40,23,7,FALSE
7,14,1,1,1,49,221.65,0.18,5.47,46.06,1183.48,0.07,65.75,11,0,2,0,7,18,26,23,1,FALSE
8,34,10,1,4,122,684.98,0.07,14.33,43.43,9941.84,0.23,552.32,29,1,3,0,16,29,75,47,19,FALSE
9,9,2,1,2,16,55.35,0.11,9,6.15,498.16,0.02,27.68,4,0,2,0,9,2,12,4,3,FALSE
10,16,2,1,2,51,236.84,0.11,9.5,23.01,2461.32,0.08,136.74,14,0,0,0,11,11,32,19,3,FALSE
11,8,1,1,1,15,51.89,0.19,5.25,9.88,272.43,0.02,15.14,5,0,1,0,7,4,8,7,1,TRUE
12,19,1,1,1,54,240.81,0.13,7.72,28.23,1923.16,0.08,106.84,11,2,5,0,9,10,29,19,1,FALSE
13,83,11,1,4,141,879.58,0.06,17.86,49.25,15709.76,0.29,872.76,58,23,11,1,24,43,83,64,16,FALSE
14,6,1,1,1,17,58.81,0.19,5.25,11.2,276.75,0.02,15.38,3,0,0,0,7,4,12,6,1,TRUE
15,66,8,1,5,158,835.29,0.03,28.8,25.06,30051.42,0.24,1669.52,46,9,9,0,20,25,96,72,13,FALSE
16,126,13,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,TRUE
17,7,1,1,1,35,148.68,0.09,11.67,11.9,1711.91,0.05,95.11,5,0,0,0,14,6,26,10,1,FALSE
18,40,9,3,7,151,823.92,0.04,23.33,35.54,22476.1,0.27,1248.67,32,0,8,2,18,21,95,56,17,TRUE
19,83,9,1,8,483,2881.39,0.02,42.24,56.53,111762.93,0.96,6209.05,62,4,12,0,25,45,252,198,17,TRUE
20,5,1,1,1,14,48.43,0.29,3.5,13.32,145.3,0.02,8.07,3,0,0,0,7,5,9,5,1,FALSE
21,4,1,1,1,12,38.04,0.25,4,9.51,152.16,0.02,8.45,2,0,0,0,6,3,8,4,1,FALSE
22,5,2,1,1,11,34.87,0.19,5.25,6.64,183.06,0.01,10.17,3,0,0,0,7,2,8,3,3,FALSE
23,16,1,1,1,21,77.71,0.32,3.11,28.71,233.13,0.03,12.95,8,4,3,0,5,9,12,9,1,FALSE
24,63,12,1,6,244,1363.51,0.03,34.04,41.47,44016.67,0.45,2454.23,54,1,6,0,27,38,147,93,22,TRUE
25,83,11,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,TRUE
26,45,6,1,5,121,659.92,0.05,20.63,32.67,13434.72,0.22,746.37,35,1,6,0,21,24,74,47,11,TRUE
27,32,6,3,3,87,422.64,0.05,20.54,21.06,8620.49,0.14,478.92,21,3,2,0,16,13,54,35,11,FALSE
28,11,3,3,2,41,185.47,0.13,7.5,24.11,1404.72,0.06,78.04,9,0,1,0,13,12,26,15,5,FALSE
